timestamp,motiontime,cmd_mode,cmd_gaitType,cmd_velocity_x,cmd_velocity_y,cmd_yawSpeed,cmd_bodyHeight,cmd_euler_x,cmd_euler_y,cmd_euler_z,imu_r,imu_p,imu_y,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z,m0_q,m0_dq,m0_tau,m1_q,m1_dq,m1_tau,m2_q,m2_dq,m2_tau,m3_q,m3_dq,m3_tau,m4_q,m4_dq,m4_tau,m5_q,m5_dq,m5_tau,m6_q,m6_dq,m6_tau,m7_q,m7_dq,m7_tau,m8_q,m8_dq,m8_tau,m9_q,m9_dq,m9_tau,m10_q,m10_dq,m10_tau,m11_q,m11_dq,m11_tau
1744752089.6887524,1627,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
1744752089.6912177,1628,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
1744752089.6938145,1629,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
1744752089.6964397,1630,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
1744752089.6990137,1631,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
1744752089.7017505,1632,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
1744752089.7043931,1633,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
1744752089.707002,1634,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
1744752089.7096252,1635,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
1744752089.7123148,1636,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
1744752089.7148786,1637,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
1744752089.7174728,1638,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
1744752089.7200916,1639,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
1744752089.7226424,1640,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12300040572881699,0.015493418090045452,-1.288535237312317,-0.0007090214639902115,0.0012420564889907837,0.0013656618539243937,-0.12792831659317017,1.1766746044158936,9.626944541931152,-0.13013282418251038,-0.0124967684969306,1.18359375,0.7849146723747253,-0.0008121112477965653,0.54296875,-1.5506939888000488,-0.003929626662284136,2.59375,-0.08138599991798401,-0.004126378800719976,-2.17578125,0.7577860355377197,0.0003343054559081793,0.3671875,-1.508103609085083,0.00014303618809208274,5.3046875,-0.14999490976333618,0.011590735986828804,1.8046875,0.7892746329307556,-0.0003679854853544384,0.6171875,-1.5849277973175049,-0.002360841492190957,3.484375,-0.12171567231416702,0.0009481512825004756,-2.02734375,0.7772241830825806,0.00026866060215979815,0.24609375,-1.5311548709869385,0.0014020000817254186,5.93359375
